% Model:              3D_7lay_aniso_h.mph
% Version:            COMSOL 5.2.1.152
% Date:               Nov 22 2018, 15:33
% Dimension:          1
% Nodes:              100
% Expressions:        11
% Description:        Temperature
% cln1x                   T (K) @ t=0              T (K) @ t=3              T (K) @ t=6              T (K) @ t=9              T (K) @ t=12             T (K) @ t=15             T (K) @ t=18             T (K) @ t=21             T (K) @ t=24             T (K) @ t=27             T (K) @ t=30
32.400000000000006        293.1500000000032        296.6971412231784        304.2497275843257        311.03064437246013       316.653095688718         321.31067049063006       325.20120605035095       328.4776011151434        331.25576554989414       333.624857357309         335.65469431971786
33.199999999999996        293.1499999999968        296.4062834005356        303.6804151441372        310.31291189371456       315.85220047718934       320.4619051304893        324.3244326020151        327.58420690013094       330.3523664686745        332.71534586173277       334.7413910584732
34                        293.14999999999293       296.1351842517203        303.1336095007623        309.61584696635407       315.0700311682036        319.6302542305211        323.46345940614884       326.70553109423406       329.46278525137546       331.81889546449594       333.84050805349085
34.8                      293.14999999999185       295.8842660801781        302.6095501386758        308.9394555501235        314.30643483288225       318.8154618118774        322.6179624539862        325.84120342518594       328.5866191834179        330.9350800362166        332.9516018339333
35.6                      293.1499999999932        295.65360428862493       302.1086077973548        308.2841943675037        313.56190122426415       318.01803243662755       321.7884530299094        324.99173796037724       327.7243831620059        330.0644143537299        332.07518662042304
36.4                      293.1499999999967        295.4426236394244        301.6305860742421        307.6502356435475        312.83684329776827       317.23853257250653       320.9755977362517        324.1578686904632        326.8768579899183        329.2077127211584        331.2121013439666
37.2                      293.1500000000022        295.2513241325768        301.1754849693378        307.03757937825486       312.1312610533944        316.47696221951435       320.1793965730131        323.3395956154435        326.04404366715494       328.364975138502         330.36234600456436
38                        293.1500000000075        295.0781373945837        300.74219253044674       306.44529405384844       311.4443119272006        315.73252927117517       319.3990866715968        322.53617258950385       325.2252033543254        327.5354697154463        329.52519113250503
38.8                      293.15000000000543       294.90227460538324       300.28115652606834       305.80393848138203       310.69433150698904       314.91605715221056       318.5407636310145        321.65062420512254       324.32129505466304       326.6187115089265        328.5991070008808
39.6                      293.15000000000373       294.73596679867575       299.835891615808         305.1791461517274        309.9604063352274        314.11477361542234       317.6966826810103        320.7784002936621        323.42986684065465       325.7136770361827        327.68407900303293
40.4                      293.15000000000225       294.57921397446114       299.4063977996654        304.57091706488455       309.24253641191547       313.3286786608103        316.8668438215842        319.9195008551223        322.5509187123002        324.82036629721483       326.7801071389613
41.2                      293.1500000000015        294.4350167953757        298.9962059640227        303.9826003710822        308.5439115497562        312.560866817686         316.05428902167364       319.07694002231165       321.6874506854833        323.9417725940815        325.89018185848994
